"Route","Year","Publication Type","york","Open Access","Number of Publications"
"YOAF","2018","data paper","TRUE","Green",0
"other","2019","data paper","TRUE","Green",0
"TA","2019","data paper","TRUE","Green",0
"YOAF","2019","data paper","TRUE","Green",0
"other","2020","data paper","TRUE","Green",0
"TA","2020","data paper","TRUE","Green",0
"YOAF","2020","data paper","TRUE","Green",0
"other","2021","data paper","TRUE","Green",0
"TA","2021","data paper","TRUE","Green",0
"YOAF","2021","data paper","TRUE","Green",0
"other","2022","data paper","TRUE","Green",0
"TA","2022","data paper","TRUE","Green",0
"YOAF","2022","data paper","TRUE","Green",0
"other","2017","editorial","TRUE","Green",11
"TA","2017","editorial","TRUE","Green",0
"YOAF","2017","editorial","TRUE","Green",0
"other","2018","editorial","TRUE","Green",4
"TA","2018","editorial","TRUE","Green",0
"YOAF","2018","editorial","TRUE","Green",0
"other","2019","editorial","TRUE","Green",19
"TA","2019","editorial","TRUE","Green",0
"YOAF","2019","editorial","TRUE","Green",0
"other","2020","editorial","TRUE","Green",16
"TA","2020","editorial","TRUE","Green",0
"YOAF","2020","editorial","TRUE","Green",0
"other","2021","editorial","TRUE","Green",13
"TA","2021","editorial","TRUE","Green",0
"YOAF","2021","editorial","TRUE","Green",0
"other","2022","editorial","TRUE","Green",2
"TA","2022","editorial","TRUE","Green",0
"YOAF","2022","editorial","TRUE","Green",0
"other","2017","letter","TRUE","Green",9
"TA","2017","letter","TRUE","Green",0
"YOAF","2017","letter","TRUE","Green",0
"other","2018","letter","TRUE","Green",7
